time,temperature_2m,pressure_msl,relative_humidity_2m,wind_speed_10m,wind_direction_10m
2024-10-25T17:00,26.7,1009.9,65,9.6,87
2024-10-25T18:00,25.0,1010.5,72,8.4,110
2024-10-25T19:00,24.2,1011.3,76,8.1,103
2024-10-25T20:00,23.5,1012.0,78,7.8,97
2024-10-25T21:00,22.6,1012.6,82,5.5,73
2024-10-25T22:00,21.9,1012.2,85,6.5,51
2024-10-25T23:00,21.6,1011.8,85,7.1,49
2024-10-26T00:00,21.3,1011.3,86,6.1,50
2024-10-26T01:00,20.9,1010.7,88,4.4,35
2024-10-26T02:00,20.5,1010.3,91,4.3,15
2024-10-26T03:00,20.7,1009.8,90,3.9,16
2024-10-26T04:00,20.7,1010.0,89,2.4,351
2024-10-26T05:00,20.5,1010.5,90,3.8,343
2024-10-26T06:00,21.5,1011.5,87,7.4,354
2024-10-26T07:00,23.5,1012.0,81,7.6,3
2024-10-26T08:00,25.6,1012.6,73,7.2,19
2024-10-26T09:00,27.5,1012.8,66,9.3,15
2024-10-26T10:00,28.8,1012.1,61,8.6,26
2024-10-26T11:00,29.8,1011.0,56,6.6,55
2024-10-26T12:00,30.4,1009.8,54,6.5,87
2024-10-26T13:00,30.8,1008.6,53,7.2,103
2024-10-26T14:00,30.9,1007.9,53,6.5,96
2024-10-26T15:00,30.5,1007.5,53,7.6,91
2024-10-26T16:00,29.0,1007.7,64,4.9,92
2024-10-26T17:00,26.5,1008.4,73,7.1,80
2024-10-26T18:00,27.6,1009.5,67,1.0,68
2024-10-26T19:00,25.2,1010.1,81,4.3,17
2024-10-26T20:00,24.6,1010.5,82,4.0,10
2024-10-26T21:00,24.1,1010.7,84,4.8,27
2024-10-26T22:00,23.8,1010.8,84,6.4,58
2024-10-26T23:00,23.6,1010.5,84,6.3,77
2024-10-27T00:00,23.2,1010.2,87,5.2,78
2024-10-27T01:00,22.7,1009.7,90,4.5,74
2024-10-27T02:00,22.8,1009.5,90,3.5,66
2024-10-27T03:00,22.9,1009.2,89,5.0,52
2024-10-27T04:00,22.7,1009.4,89,5.9,63
2024-10-27T05:00,22.8,1009.8,88,6.6,74
2024-10-27T06:00,23.6,1010.8,82,15.7,95
2024-10-27T07:00,24.4,1011.5,83,13.4,102
2024-10-27T08:00,25.6,1011.8,80,11.3,83
2024-10-27T09:00,26.6,1011.9,77,10.8,88
2024-10-27T10:00,28.3,1011.5,69,11.8,74
2024-10-27T11:00,29.4,1010.3,65,11.9,85
2024-10-27T12:00,29.8,1009.0,64,11.2,94
2024-10-27T13:00,30.3,1007.6,63,9.4,90
2024-10-27T14:00,30.5,1006.8,62,8.1,94
2024-10-27T15:00,30.2,1006.4,63,7.4,97
2024-10-27T16:00,29.4,1006.5,70,4.1,88
2024-10-27T17:00,27.3,1006.8,80,6.5,71
2024-10-27T18:00,28.1,1007.6,70,1.3,352
2024-10-27T19:00,26.0,1008.2,83,4.6,349
2024-10-27T20:00,25.4,1008.5,85,5.2,333
2024-10-27T21:00,26.4,1009.0,77,2.8,320
2024-10-27T22:00,25.3,1009.1,83,3.0,335
2024-10-27T23:00,24.5,1008.6,87,3.5,351
2024-10-28T00:00,23.9,1008.1,90,4.3,2
2024-10-28T01:00,23.6,1007.5,91,4.4,12
2024-10-28T02:00,23.2,1007.2,92,5.0,26
2024-10-28T03:00,23.0,1007.1,93,5.0,46
2024-10-28T04:00,23.0,1007.4,92,4.4,58
2024-10-28T05:00,22.7,1008.3,94,4.3,62
2024-10-28T06:00,23.9,1009.3,91,7.1,74
2024-10-28T07:00,25.3,1010.1,87,7.1,63
2024-10-28T08:00,27.0,1010.9,80,6.9,70
2024-10-28T09:00,28.4,1010.8,74,6.2,80
2024-10-28T10:00,29.4,1010.3,67,4.7,97
2024-10-28T11:00,30.3,1009.3,63,3.1,111
2024-10-28T12:00,30.8,1007.8,60,2.5,98
2024-10-28T13:00,31.0,1006.7,60,1.1,99
2024-10-28T14:00,31.0,1005.8,61,1.2,207
2024-10-28T15:00,30.7,1005.5,60,1.8,225
2024-10-28T16:00,29.9,1005.7,69,1.8,270
2024-10-28T17:00,27.8,1006.3,78,5.7,307
2024-10-28T18:00,27.4,1007.2,76,7.0,269
2024-10-28T19:00,28.1,1007.9,70,4.3,272
2024-10-28T20:00,27.4,1008.4,74,4.2,288
2024-10-28T21:00,26.3,1008.7,80,3.3,331
2024-10-28T22:00,25.1,1008.5,87,4.5,358
2024-10-28T23:00,24.8,1008.2,89,4.7,358
2024-10-29T00:00,25.8,1007.8,83,2.4,351
2024-10-29T01:00,25.3,1007.5,85,1.0,239
2024-10-29T02:00,25.1,1007.1,87,1.3,56
2024-10-29T03:00,24.8,1007.2,88,1.0,338
2024-10-29T04:00,24.5,1007.7,89,2.2,305
2024-10-29T05:00,24.4,1008.4,90,1.9,343
2024-10-29T06:00,24.1,1009.2,95,3.5,325
2024-10-29T07:00,26.2,1010.0,85,3.3,338
2024-10-29T08:00,28.1,1010.7,74,3.2,344
2024-10-29T09:00,29.4,1010.9,67,3.7,325
2024-10-29T10:00,30.3,1010.5,64,4.8,285
2024-10-29T11:00,30.6,1009.4,63,6.5,262
2024-10-29T12:00,30.9,1008.4,61,6.7,256
2024-10-29T13:00,31.1,1007.2,60,7.9,258
2024-10-29T14:00,30.9,1006.4,60,9.5,256
2024-10-29T15:00,30.7,1006.1,60,9.6,256
2024-10-29T16:00,29.7,1006.2,66,6.7,251
2024-10-29T17:00,28.0,1006.7,71,6.4,243
2024-10-29T18:00,27.9,1007.3,71,8.0,254
2024-10-29T19:00,27.2,1007.9,73,7.0,271
2024-10-29T20:00,26.4,1008.4,77,7.1,263
2024-10-29T21:00,25.7,1008.7,81,6.8,259
2024-10-29T22:00,25.1,1008.6,83,6.3,273
2024-10-29T23:00,24.7,1008.5,85,6.3,277
2024-10-30T00:00,24.1,1008.3,87,5.9,272
2024-10-30T01:00,23.6,1008.0,90,5.6,264
2024-10-30T02:00,23.2,1008.0,92,6.1,270
2024-10-30T03:00,23.0,1008.0,92,5.2,286
2024-10-30T04:00,22.7,1008.4,94,5.9,293
2024-10-30T05:00,22.4,1009.2,94,6.6,305
2024-10-30T06:00,23.9,1009.9,90,5.8,277
2024-10-30T07:00,25.5,1010.7,85,5.4,296
2024-10-30T08:00,27.2,1011.3,78,6.0,299
2024-10-30T09:00,28.7,1011.7,73,6.3,290
2024-10-30T10:00,30.0,1011.1,65,9.3,279
2024-10-30T11:00,30.6,1010.0,59,11.7,274
2024-10-30T12:00,31.1,1009.1,57,12.1,276
2024-10-30T13:00,31.4,1008.1,55,12.5,277
2024-10-30T14:00,31.3,1007.6,54,12.5,275
2024-10-30T15:00,31.0,1007.4,55,11.4,275
2024-10-30T16:00,29.8,1007.7,62,6.6,283
2024-10-30T17:00,27.6,1008.3,72,6.8,287
2024-10-30T18:00,27.3,1009.3,69,6.0,307
2024-10-30T19:00,26.5,1010.0,73,5.6,320
2024-10-30T20:00,25.5,1010.4,80,7.6,322
2024-10-30T21:00,25.2,1010.8,81,6.2,308
2024-10-30T22:00,24.7,1011.1,83,5.6,292
2024-10-30T23:00,24.5,1010.9,84,4.9,260
2024-10-31T00:00,24.4,1010.6,84,4.3,246
2024-10-31T01:00,23.2,1010.1,90,5.9,230
2024-10-31T02:00,22.6,1009.9,92,7.0,249
2024-10-31T03:00,22.5,1009.6,91,5.9,272
2024-10-31T04:00,22.2,1009.7,92,6.9,264
2024-10-31T05:00,22.0,1010.3,93,7.0,252
2024-10-31T06:00,23.1,1010.8,89,5.8,256
2024-10-31T07:00,24.8,1011.7,83,5.4,274
2024-10-31T08:00,26.8,1012.3,76,5.0,268
2024-10-31T09:00,28.7,1012.7,67,6.3,275
2024-10-31T10:00,29.7,1012.1,62,9.1,284
2024-10-31T11:00,30.3,1011.0,59,12.5,278
2024-10-31T12:00,30.8,1010.0,55,14.9,272
2024-10-31T13:00,31.2,1009.0,54,15.3,273
2024-10-31T14:00,31.4,1008.1,53,14.4,274
2024-10-31T15:00,31.1,1007.7,54,10.8,272
2024-10-31T16:00,29.5,1007.7,71,4.9,278
2024-10-31T17:00,29.6,1008.0,60,0.4,63
2024-10-31T18:00,29.0,1008.6,60,0.4,63
2024-10-31T19:00,25.6,1009.1,79,6.5,48
2024-10-31T20:00,25.1,1009.5,82,5.5,58
2024-10-31T21:00,24.4,1009.8,86,6.7,88
2024-10-31T22:00,24.2,1009.7,86,5.8,106
2024-10-31T23:00,23.9,1009.6,87,6.5,114
2024-11-01T00:00,23.5,1009.3,88,6.4,117
2024-11-01T01:00,23.0,1009.2,90,7.3,110
2024-11-01T02:00,22.8,1009.0,91,6.3,127
2024-11-01T03:00,22.1,1009.1,94,7.3,155
2024-11-01T04:00,23.2,1009.4,88,3.5,118
2024-11-01T05:00,22.4,1010.2,92,1.4,40
2024-11-01T06:00,22.3,1011.1,96,3.1,13
2024-11-01T07:00,24.2,1012.1,89,3.5,55
2024-11-01T08:00,26.5,1012.9,79,3.1,80
2024-11-01T09:00,28.3,1013.4,73,3.1,100
2024-11-01T10:00,29.7,1013.1,66,2.8,145
2024-11-01T11:00,30.9,1012.1,56,4.2,200
2024-11-01T12:00,31.6,1011.3,51,6.4,223
2024-11-01T13:00,32.1,1010.4,46,8.7,236
2024-11-01T14:00,32.2,1009.8,44,10.6,249
2024-11-01T15:00,31.3,1009.7,50,9.4,265
2024-11-01T16:00,29.2,1010.2,61,6.0,295
2024-11-01T17:00,26.3,1010.7,72,8.6,299
2024-11-01T18:00,25.7,1011.3,74,9.1,304
2024-11-01T19:00,25.5,1012.1,70,6.4,338
2024-11-01T20:00,24.9,1012.3,74,6.5,5
2024-11-01T21:00,24.1,1012.4,78,5.4,8
2024-11-01T22:00,23.3,1012.4,83,7.1,49
2024-11-01T23:00,23.2,1012.1,84,6.5,95
2024-11-02T00:00,22.7,1011.7,87,5.9,113
2024-11-02T01:00,21.7,1011.7,93,3.4,186
2024-11-02T02:00,22.7,1011.5,88,1.9,49
2024-11-02T03:00,21.6,1011.5,93,3.8,65
2024-11-02T04:00,21.3,1011.6,94,5.2,65
2024-11-02T05:00,21.3,1012.4,94,6.3,66
2024-11-02T06:00,21.9,1012.9,96,7.6,82
2024-11-02T07:00,23.4,1013.9,91,7.6,93
2024-11-02T08:00,25.3,1014.8,84,7.0,93
2024-11-02T09:00,27.0,1015.3,77,6.1,87
2024-11-02T10:00,28.4,1015.0,71,5.6,92
2024-11-02T11:00,29.4,1013.8,64,4.5,104
2024-11-02T12:00,29.9,1013.0,59,2.3,141
2024-11-02T13:00,30.3,1011.9,56,1.9,236
2024-11-02T14:00,30.3,1011.4,53,2.6,282
2024-11-02T15:00,30.1,1011.2,54,3.6,307
2024-11-02T16:00,28.7,1011.2,65,4.0,357
2024-11-02T17:00,26.9,1011.7,68,5.6,29
2024-11-02T18:00,25.5,1012.7,74,7.0,10
2024-11-02T19:00,24.9,1013.1,77,7.6,3
2024-11-02T20:00,24.3,1013.6,79,7.0,1
2024-11-02T21:00,23.7,1013.9,84,6.4,18
2024-11-02T22:00,23.3,1014.1,88,5.2,46
2024-11-02T23:00,23.0,1013.9,90,6.1,60
2024-11-03T00:00,22.5,1013.4,93,5.2,70
2024-11-03T01:00,22.2,1013.1,94,5.2,92
2024-11-03T02:00,21.9,1012.9,96,4.9,98
2024-11-03T03:00,21.5,1012.8,97,5.1,80
2024-11-03T04:00,21.3,1012.9,97,5.2,70
2024-11-03T05:00,21.2,1013.4,97,5.4,69
2024-11-03T06:00,22.5,1014.3,98,3.6,70
2024-11-03T07:00,24.1,1015.0,92,4.3,95
2024-11-03T08:00,26.2,1015.8,85,3.7,104
2024-11-03T09:00,28.0,1015.9,73,3.3,119
2024-11-03T10:00,29.1,1015.2,63,2.8,130
2024-11-03T11:00,29.9,1014.1,58,2.1,149
2024-11-03T12:00,30.3,1012.8,56,2.2,180
2024-11-03T13:00,30.5,1011.7,54,2.7,212
2024-11-03T14:00,30.5,1011.1,53,3.6,225
2024-11-03T15:00,30.3,1010.8,54,4.0,240
2024-11-03T16:00,29.0,1010.9,71,2.4,279
2024-11-03T17:00,27.5,1011.4,73,5.1,333
2024-11-03T18:00,26.3,1012.2,76,4.8,295
2024-11-03T19:00,25.4,1012.8,79,6.5,294
2024-11-03T20:00,24.7,1012.9,81,7.1,300
2024-11-03T21:00,24.2,1013.2,82,6.5,302
2024-11-03T22:00,23.7,1013.4,86,6.5,316
2024-11-03T23:00,23.6,1013.0,86,4.9,336
