time,gyro_x,gyro_y,gyro_z,bme_temp,bme_h,bme_p,bmp_temp,bmp_p,bmp_alt,gps_lat,gps_lon,gps_alt,gyro_x_R,gyro_y_R,gyro_z_R,bme_temp_R,bme_h_R,bme_p_R,bmp_temp_R,bmp_p_R,bmp_alt_R,gps_lat_R,gps_lon_R,gps_alt_R
00:00:10,-0.28,-0.61,0.05,19.88,54.14,940.01,18.97,947.47,396.64,12.344683,76.542369,408.11,0.24,-0.48,-0.42,20.36,55.37,949.75,19.56,949.86,405.8,12.345764,76.543292,404.01
00:00:11,-0.19,0.5,0.54,21.49,55.96,957.34,18.27,944.04,414.5,12.346301,76.543115,400.72,-0.22,-0.18,-0.21,19.72,54.84,947.56,20.19,948.28,406.48,12.345669,76.543117,404.59
00:00:12,-0.5,-0.78,0.25,19.28,52.07,943.76,19.9,946.29,412.33,12.346489,76.54371,409.04,-0.01,-0.28,0.29,19.98,54.57,949.26,20.27,952.28,406.96,12.345695,76.543203,405.96
00:00:13,0.32,0.6,0.85,18.61,52.86,941.98,19.07,943.05,387.21,12.346611,76.542482,400.83,-0.02,0.17,0.43,19.76,55.09,951.48,19.82,947.71,405.36,12.345664,76.543189,405.36
00:00:14,0.24,-0.86,0.38,20.99,54.83,947.87,18.29,949.83,397.62,12.346312,76.543056,403.3,0.14,-0.43,0.43,20.3,55.23,951.84,20.03,949.67,405.97,12.345622,76.543117,405.66
00:00:15,0.42,-0.75,-0.19,20.54,57.66,959.57,20.34,941.31,387.93,12.344943,76.543242,401.85,-0.37,0.42,-0.1,19.72,54.91,952.04,19.5,948.09,406.18,12.34572,76.543169,404.16
00:00:16,0.55,0.75,0.9,21.17,53.88,957.9,20.74,946.94,393.22,12.345383,76.542592,409.91,0.05,-0.06,-0.37,19.69,55.1,947.93,19.95,947.03,403.39,12.345584,76.543219,404.63
00:00:17,0.47,0.29,0.05,20.18,56.16,940.98,18.94,951.55,390.18,12.345954,76.543787,406.11,-0.36,0.42,0.13,20.03,54.73,949.19,20.22,948.0,406.62,12.345673,76.543171,404.58
00:00:18,0.73,-0.9,0.04,18.03,52.81,955.65,18.27,953.01,403.39,12.345365,76.543751,401.6,0.0,0.23,-0.27,20.46,54.74,949.77,19.75,951.04,404.46,12.345715,76.543196,405.74
00:00:19,-0.72,-0.34,-0.56,19.19,53.55,958.48,21.37,952.41,395.02,12.344901,76.543807,406.95,-0.49,0.26,-0.17,20.04,54.6,951.42,19.95,950.93,403.74,12.345578,76.543167,404.81
00:00:20,0.98,0.29,-0.6,19.07,54.53,951.45,20.32,957.96,405.41,12.345243,76.542514,400.64,-0.31,0.4,-0.39,19.99,54.75,947.16,19.83,947.19,405.57,12.345718,76.543177,405.19
00:00:21,0.27,0.46,1.0,21.41,57.14,946.87,18.88,950.66,414.41,12.344686,76.543518,400.98,-0.13,0.23,-0.14,19.83,55.02,947.97,19.86,948.93,406.67,12.345577,76.543113,405.02
00:00:22,0.61,0.96,0.77,19.34,54.75,954.62,18.04,959.55,409.46,12.344779,76.542345,405.51,0.25,-0.07,0.34,19.64,54.7,951.23,20.46,950.31,405.65,12.345751,76.543268,404.86
00:00:23,0.03,1.0,0.7,19.27,52.56,948.54,20.76,948.1,398.93,12.345768,76.543269,404.48,0.02,0.47,0.38,20.46,54.97,949.36,19.83,947.6,403.85,12.345613,76.54318,404.75
00:00:24,0.01,0.69,0.86,19.13,53.44,946.13,18.19,945.32,409.19,12.345121,76.544128,404.84,0.1,-0.16,-0.37,19.7,55.33,947.06,19.71,952.09,404.23,12.345625,76.543288,404.27
00:00:25,0.76,-0.01,0.07,20.93,55.44,941.44,18.66,950.27,405.89,12.345163,76.542822,405.4,-0.18,0.49,0.09,20.17,55.24,949.85,19.76,949.32,404.4,12.345732,76.543214,404.9
00:00:26,-0.31,0.03,0.53,20.68,57.43,957.41,18.44,959.62,413.11,12.344735,76.54249,401.16,-0.27,-0.15,-0.25,20.4,54.59,949.87,19.63,948.48,405.58,12.345618,76.543217,404.07
00:00:27,-0.67,-0.27,0.26,18.25,57.3,942.4,18.92,941.27,387.04,12.345164,76.543933,403.34,0.37,-0.17,0.17,19.83,55.1,952.79,19.82,951.69,403.18,12.345745,76.543168,404.16
00:00:28,0.47,-0.69,0.7,18.43,57.57,953.96,20.08,942.96,412.85,12.346412,76.542999,401.03,0.27,-0.07,-0.3,20.22,54.68,948.69,19.72,952.06,405.79,12.345672,76.54316,404.9
00:00:29,-0.87,-0.73,0.82,19.53,57.1,945.07,20.66,955.59,396.18,12.345102,76.5426,401.7,-0.33,-0.02,-0.38,19.76,55.29,947.69,20.38,950.8,403.47,12.34571,76.543224,404.49
00:00:30,0.97,0.77,0.83,-,53.08,949.98,19.5,951.53,401.52,12.345632,76.543896,405.96,0.27,-0.42,-0.32,19.87,54.75,952.65,20.43,947.24,403.44,12.345646,76.543148,405.18
00:00:31,0.3,-0.49,-0.38,18.87,52.29,958.07,19.07,947.69,401.13,12.345862,76.54313,403.28,-0.35,-0.24,0.16,19.86,54.66,950.96,19.63,952.99,403.25,12.345575,76.543299,404.05
00:00:32,0.15,-0.18,-0.56,20.66,57.57,940.66,19.41,947.02,388.24,12.344993,76.543141,402.88,0.16,-0.34,-0.06,20.24,54.93,952.61,20.42,950.75,403.68,12.345581,76.543212,404.62
00:00:33,-0.47,-0.65,-0.19,18.56,57.19,940.43,20.5,943.82,390.4,12.346152,76.543701,407.48,0.16,-0.37,-0.08,19.64,54.89,950.06,20.21,947.23,405.48,12.34565,76.543204,405.97
00:00:34,-0.52,0.72,0.07,20.64,52.01,944.27,21.65,941.39,397.25,12.346047,76.542552,403.89,0.08,-0.16,-0.49,19.86,55.03,950.31,20.04,952.02,404.1,12.345648,76.543294,405.04
00:00:35,0.78,0.85,-0.18,20.42,53.36,951.49,20.65,954.24,-,12.34472,76.542443,409.31,0.17,0.37,-0.48,20.19,55.38,947.33,20.41,952.82,406.51,12.345651,76.543296,404.63
00:00:36,-0.79,-0.87,-0.73,18.96,57.43,952.34,20.04,945.88,392.17,12.345733,76.543687,404.96,-0.2,0.27,-0.01,20.08,55.03,951.37,20.22,947.33,405.67,12.345687,76.543273,405.28
00:00:37,-0.54,0.99,0.43,20.21,55.33,953.83,20.88,958.2,385.2,12.345601,76.543495,405.64,0.35,0.2,0.45,20.45,55.0,951.68,20.43,951.67,404.35,12.345716,76.543168,404.64
00:00:38,0.39,-0.62,0.65,20.06,55.97,950.7,19.97,957.18,401.85,12.346273,76.543428,402.87,-0.21,-0.37,-0.02,20.02,54.5,947.33,20.13,950.66,405.93,12.345711,76.543166,405.38
00:00:39,0.14,-0.16,0.36,20.46,56.29,944.01,19.79,952.12,392.72,12.346087,76.543245,405.76,0.27,-0.33,0.39,20.45,55.15,947.53,19.7,947.74,404.69,12.345635,76.543249,404.56
00:00:40,-,-0.8,-0.05,21.89,55.33,948.4,19.61,947.54,401.68,12.345723,76.542395,403.75,-0.04,0.37,-0.02,19.91,54.62,952.02,20.46,952.37,403.03,12.345724,76.543127,405.78
00:00:41,-0.24,0.83,0.99,19.17,55.43,942.52,21.75,949.49,400.66,12.345563,76.543315,406.96,-0.35,-0.23,-0.1,19.99,54.78,950.35,19.93,949.21,404.9,12.345661,76.543116,404.02
00:00:42,0.26,-0.59,-0.92,19.61,57.22,950.33,19.06,956.18,395.02,12.345848,76.542987,403.43,0.44,0.05,0.39,20.35,55.43,947.8,20.44,949.83,405.0,12.345578,76.54318,404.06
00:00:43,-0.76,0.82,0.26,20.26,55.47,943.32,19.41,951.45,389.64,12.346172,76.542338,408.38,0.11,-0.07,0.27,20.39,55.39,948.5,20.33,947.33,406.86,12.345706,76.543224,405.07
00:00:44,-0.61,-0.64,0.76,20.85,52.01,959.59,19.57,951.44,397.14,12.34539,76.54235,405.34,0.04,-0.13,-0.43,20.22,54.95,947.02,20.28,951.47,404.82,12.34573,76.543159,405.73
00:00:45,0.05,0.41,0.26,18.16,53.52,946.87,21.1,953.24,396.86,12.345875,76.543791,405.8,0.13,-0.23,0.09,20.11,54.86,948.0,19.84,948.55,406.69,12.345589,76.543247,405.75
00:00:46,0.35,0.35,-0.94,21.82,56.32,951.8,19.39,942.34,411.88,12.346016,76.543996,403.81,0.26,0.28,-0.33,20.35,55.26,952.38,20.32,952.03,403.47,12.345687,76.543219,404.18
00:00:47,0.72,-0.13,0.05,19.9,56.58,954.5,18.8,944.6,400.28,12.346493,76.544141,406.45,0.5,0.13,0.38,19.98,55.09,947.57,20.02,950.59,405.0,12.345705,76.543285,404.08
00:00:48,0.13,0.36,-0.25,20.46,55.06,944.71,18.44,953.84,412.02,12.345544,76.543906,403.1,0.36,-0.18,-0.0,20.49,54.73,949.17,20.25,947.96,405.95,12.345574,76.543267,405.97
00:00:49,-0.63,0.24,0.23,20.52,53.26,954.72,21.11,953.5,390.58,12.345821,76.543071,401.33,-0.4,0.32,-0.26,20.49,55.39,947.59,20.05,947.15,403.34,12.345652,76.54327,404.58
00:00:50,-0.49,-0.23,0.38,18.79,53.34,958.83,20.12,956.28,404.21,nan,76.543817,407.64,-0.25,-0.19,0.13,19.59,55.0,947.85,20.39,950.92,404.74,12.345614,76.543269,405.8
00:00:51,0.57,-0.81,0.01,18.19,55.86,947.11,21.38,943.81,413.55,12.345635,76.543898,408.92,-0.3,-0.15,-0.3,19.78,55.21,951.68,20.4,947.07,405.19,12.345637,76.543177,405.09
00:00:52,0.51,0.06,-0.78,18.12,53.55,951.62,19.77,957.58,407.93,12.345735,76.543592,400.9,0.2,0.17,0.08,20.35,55.23,952.07,20.1,948.08,404.8,12.34565,76.543263,404.81
00:00:53,-0.86,0.6,-0.76,20.48,55.18,946.12,19.2,945.57,407.81,12.345709,76.542357,409.49,-0.0,-0.21,-0.14,20.34,55.11,947.0,19.68,952.5,404.09,12.345667,76.543268,405.22
00:00:54,0.94,0.35,-0.2,18.04,57.13,958.05,19.85,955.22,409.47,12.346008,76.542695,406.56,-0.03,0.27,0.49,19.62,54.63,951.82,19.92,947.71,404.03,12.345725,76.543202,404.75
00:00:55,0.77,0.93,-0.49,19.72,56.61,943.94,19.29,943.77,406.63,12.345277,76.543213,407.31,0.14,-0.2,-0.41,20.19,54.83,952.88,20.0,951.06,406.94,12.345586,76.543243,404.88
00:00:56,0.98,0.17,0.0,20.52,56.33,946.02,18.33,940.93,392.87,12.345901,76.542509,401.59,-0.01,-0.26,0.4,19.69,55.0,951.93,19.92,947.33,406.74,12.345723,76.543233,404.02
00:00:57,-0.3,0.72,0.72,21.46,53.96,950.06,20.87,947.84,405.25,12.346211,76.54398,401.62,-0.26,0.13,0.32,20.35,54.55,949.21,19.95,951.33,403.69,12.345747,76.543231,404.25
00:00:58,-0.35,0.03,0.06,20.46,55.29,956.75,20.22,941.31,399.84,12.345724,76.543948,402.64,0.3,-0.32,-0.35,19.91,54.75,948.41,20.17,948.81,405.72,12.345573,76.543238,404.58
00:00:59,-0.59,-0.98,0.48,21.51,56.54,949.65,21.28,941.1,388.17,12.346041,76.543751,409.93,0.37,-0.49,-0.48,20.48,55.08,950.99,20.2,951.41,405.34,12.345641,76.543295,404.23
00:01:00,0.89,-0.76,0.2,-,53.24,946.9,21.23,941.6,398.09,12.346233,76.543669,409.86,0.34,-0.12,-0.47,19.58,55.43,952.62,19.64,949.5,406.6,12.345695,76.543246,405.66
00:01:01,0.03,0.24,-0.57,22.0,52.18,942.84,21.43,943.31,397.77,12.346417,76.54293,407.47,0.38,-0.45,0.01,19.79,55.15,951.92,20.48,948.03,405.33,12.345633,76.543239,405.14
00:01:02,0.72,0.36,0.78,18.48,53.94,944.99,21.36,949.67,410.98,12.345254,76.543096,408.59,-0.3,0.28,0.26,20.13,55.17,947.54,19.83,949.95,403.45,12.345672,76.543296,405.52
00:01:03,0.39,-0.65,0.67,18.72,56.05,959.3,21.95,942.34,403.02,12.346325,76.542708,403.06,0.27,0.0,0.12,19.97,55.33,947.63,20.39,947.84,404.48,12.345631,76.543122,405.13
00:01:04,0.5,-0.43,0.45,18.87,55.72,941.41,18.15,956.51,411.36,12.345938,76.544057,404.02,0.33,0.26,-0.01,19.84,55.12,949.56,20.36,950.92,405.36,12.345614,76.543282,405.95
00:01:05,0.91,0.49,-0.9,21.13,56.7,945.91,20.74,946.49,392.67,12.346619,76.544209,405.91,0.2,0.37,-0.22,19.68,54.86,950.08,19.98,950.12,406.39,12.345609,76.543127,405.1
00:01:06,-0.98,0.28,0.1,21.75,56.54,940.75,19.3,958.57,395.27,12.346042,76.543111,406.64,-0.2,-0.32,0.06,20.41,55.45,951.95,20.27,948.76,403.85,12.345761,76.543147,404.14
00:01:07,0.15,-0.84,0.05,20.28,56.29,956.88,19.87,950.13,414.5,12.346308,76.543336,409.92,-0.06,0.15,-0.38,19.55,55.15,947.06,19.75,952.7,405.51,12.345582,76.543252,404.08
00:01:08,-0.86,0.7,0.51,18.21,55.69,956.21,20.57,947.06,393.23,12.34529,76.542935,405.19,0.28,-0.4,0.07,20.27,55.28,949.17,19.64,947.2,403.42,12.345707,76.543257,405.86
00:01:09,0.76,0.86,0.85,18.76,57.19,956.41,18.92,958.63,402.97,12.346562,76.543789,401.22,-0.29,-0.11,0.27,19.74,55.21,948.22,19.9,949.0,406.9,12.345659,76.543206,405.54
00:01:10,0.66,0.96,-0.35,21.23,53.21,941.01,20.66,958.84,-,12.346439,76.543669,404.44,-0.33,0.28,0.23,19.71,55.12,949.55,20.2,950.46,406.55,12.34577,76.543127,405.61
00:01:11,-0.01,0.75,0.41,21.41,57.31,957.59,19.54,951.51,414.99,12.345534,76.54352,408.68,-0.46,-0.09,0.23,20.12,55.18,949.19,19.87,947.02,405.74,12.345612,76.543296,404.38
00:01:12,-0.92,-0.9,0.46,19.89,56.38,958.51,19.77,958.22,408.34,12.346554,76.5436,400.04,0.49,0.06,0.24,20.03,54.71,947.14,20.48,949.5,404.81,12.345765,76.543281,405.15
00:01:13,-0.72,0.81,-0.45,21.96,57.27,950.75,18.6,948.91,407.45,12.346164,76.542593,402.81,-0.46,-0.29,0.07,20.22,54.96,949.05,20.45,948.7,406.62,12.345701,76.543286,405.12
00:01:14,0.11,0.09,0.0,20.45,53.24,947.87,21.05,951.1,406.67,12.345137,76.54304,408.52,0.22,0.01,-0.44,19.74,55.16,950.53,19.74,948.27,403.61,12.345641,76.543115,404.79
00:01:15,-0.85,-0.19,-0.91,18.21,53.51,944.84,18.67,951.64,388.66,12.345616,76.542298,400.76,-0.07,-0.24,-0.23,20.35,55.25,947.09,20.14,948.14,405.68,12.345623,76.543249,404.49
00:01:16,0.51,0.85,-0.35,21.87,57.54,940.02,18.19,956.8,389.17,12.346045,76.543888,409.65,0.3,0.19,0.18,20.39,54.93,952.73,19.87,947.8,404.09,12.345589,76.543158,405.67
00:01:17,0.88,0.87,-1.0,18.18,53.46,952.1,18.53,955.37,408.67,12.346311,76.542974,400.09,-0.22,-0.08,0.28,20.39,54.64,948.84,20.32,951.47,406.54,12.345705,76.543164,404.08
00:01:18,-0.77,-0.64,0.65,18.28,53.61,940.89,19.93,944.27,405.13,12.344725,76.54263,409.45,-0.24,-0.3,0.22,20.25,54.68,950.16,19.77,947.72,404.17,12.34575,76.54322,405.36
00:01:19,0.56,-0.63,0.02,21.99,55.75,947.05,20.63,946.89,388.98,12.344794,76.542403,405.17,0.18,0.45,0.14,20.34,55.2,950.6,19.55,947.31,405.34,12.345708,76.543192,405.69
00:01:20,-,-0.53,0.97,19.17,53.81,957.15,19.12,959.34,385.04,12.345225,76.542292,406.62,-0.24,0.04,0.18,19.93,54.87,948.26,20.28,950.51,403.56,12.345766,76.543207,405.29
00:01:21,0.62,0.22,-0.75,18.18,54.35,944.56,18.19,941.47,391.25,12.345528,76.542591,402.49,0.26,0.4,0.4,19.7,54.66,948.33,19.8,951.15,406.92,12.345584,76.543266,405.36
00:01:22,-0.48,-0.1,0.82,19.73,54.29,950.29,19.71,946.02,398.34,12.346342,76.543802,408.04,-0.39,0.18,0.17,19.54,55.37,952.76,19.95,947.67,405.65,12.34568,76.543171,404.46
00:01:23,-0.06,-0.52,0.97,18.37,53.98,944.06,18.12,942.76,385.82,12.345013,76.542613,405.04,0.22,-0.14,0.28,20.36,54.95,951.08,20.17,949.92,406.45,12.345698,76.543243,405.65
00:01:24,0.47,0.78,-0.99,20.39,56.01,955.57,21.6,955.08,413.97,12.344956,76.54323,407.99,-0.1,-0.25,-0.28,20.39,54.55,949.79,20.21,949.1,404.51,12.345591,76.543293,405.8
00:01:25,0.87,0.03,-0.68,20.56,55.23,942.91,20.92,945.91,414.88,12.345574,76.542522,406.78,-0.25,-0.46,-0.14,20.12,55.09,949.55,19.91,950.54,405.9,12.345637,76.543276,404.81
00:01:26,0.02,-0.44,-0.66,19.18,52.49,943.98,18.67,944.59,400.22,12.345023,76.543868,402.25,-0.35,0.2,0.34,20.2,55.11,952.78,19.75,951.53,405.56,12.34568,76.543218,404.3
00:01:27,-0.58,0.2,0.16,19.6,54.16,946.58,18.61,950.64,393.9,12.345681,76.544034,405.53,-0.29,0.11,0.2,20.41,55.0,951.78,20.42,948.68,405.29,12.345705,76.543291,405.15
00:01:28,0.81,0.54,0.75,19.93,56.82,952.64,21.94,959.28,398.13,12.346563,76.543541,408.49,-0.22,0.08,-0.39,19.62,54.85,950.93,19.63,947.65,406.02,12.345744,76.543294,405.78
00:01:29,-0.49,0.21,0.13,21.4,57.8,941.83,21.27,955.09,391.54,12.345032,76.544167,408.05,-0.33,-0.31,-0.07,19.71,55.48,947.57,19.59,948.51,406.37,12.345643,76.543189,404.31
00:01:30,-0.64,-0.8,-0.92,-,52.72,959.79,21.32,959.16,410.61,12.346517,76.54405,400.86,0.12,0.13,-0.26,20.39,55.12,947.86,20.16,947.25,403.08,12.345692,76.543289,404.25
00:01:31,0.01,-0.9,0.14,19.47,53.87,952.04,19.58,953.64,396.11,12.346048,76.543368,405.74,0.21,0.25,-0.4,19.95,55.09,949.71,19.85,950.41,404.68,12.345621,76.543117,404.37
00:01:32,-0.87,0.92,0.47,20.58,54.67,943.94,19.54,947.86,394.44,12.344892,76.543211,400.26,-0.3,0.11,0.06,20.21,54.84,948.95,19.66,952.1,405.63,12.345588,76.543286,404.92
00:01:33,-0.13,0.05,-0.46,21.76,54.39,954.44,19.35,944.12,411.37,12.345947,76.543064,403.89,0.06,-0.15,-0.11,19.63,55.43,951.73,20.13,949.95,406.36,12.345588,76.543301,405.81
00:01:34,-0.85,-0.1,0.55,19.78,54.37,951.09,18.97,945.97,406.7,12.346506,76.544143,405.02,-0.29,0.24,-0.14,19.81,55.0,950.89,19.97,952.67,403.97,12.345711,76.543136,405.11
00:01:35,-0.07,0.28,0.97,19.51,57.6,941.61,21.1,956.04,404.52,12.345269,76.542407,405.82,0.2,0.49,-0.04,20.45,55.07,947.9,20.04,951.5,404.49,12.345676,76.543288,404.03
00:01:36,-0.16,0.82,0.47,18.56,54.73,955.09,19.53,950.28,385.23,12.34481,76.543844,401.71,0.33,-0.04,-0.01,19.97,55.42,952.35,20.13,948.95,403.59,12.345667,76.54331,404.79
00:01:37,-0.96,0.05,-0.3,19.07,56.22,954.55,18.8,949.95,412.82,12.345385,76.543042,406.04,-0.3,-0.47,0.39,19.92,55.43,951.47,20.47,952.63,404.81,12.345622,76.54312,404.75
00:01:38,0.52,0.09,-0.64,21.11,52.19,950.5,18.14,953.82,391.7,12.34636,76.54398,405.82,-0.33,-0.16,0.25,20.43,55.09,947.71,20.32,951.2,405.69,12.345746,76.543176,404.31
00:01:39,-0.71,0.61,-0.16,20.09,52.07,953.08,19.02,951.43,385.97,12.345004,76.543278,405.8,-0.36,-0.42,-0.23,20.11,54.84,948.9,19.66,951.69,405.25,12.345625,76.543197,405.49
00:01:40,-0.48,-0.28,0.44,18.67,54.59,952.58,19.36,944.87,402.36,nan,76.54312,405.22,-0.39,-0.1,-0.17,19.93,54.57,951.07,19.9,950.63,405.44,12.34562,76.543293,405.51
00:01:41,-0.16,-0.83,-0.59,19.68,54.96,948.08,19.94,951.03,403.74,12.345855,76.542632,404.94,0.47,-0.35,-0.46,19.55,55.02,947.99,20.37,950.21,404.95,12.345653,76.543216,405.47
00:01:42,0.48,0.22,0.88,18.44,52.57,954.49,21.22,944.79,404.82,12.346025,76.542603,408.9,-0.04,-0.46,0.22,20.19,55.02,949.8,20.21,947.73,405.74,12.345759,76.54324,404.41
00:01:43,-0.86,-0.78,0.89,18.89,55.41,950.8,19.11,955.35,407.1,12.34468,76.542489,409.51,0.13,0.4,0.28,20.04,55.01,950.51,19.74,948.73,406.12,12.345632,76.543295,404.63
00:01:44,-0.26,-0.41,-0.48,18.43,56.25,940.3,19.97,943.43,389.77,12.345956,76.543697,403.45,0.2,-0.16,0.03,20.28,54.94,948.6,19.68,947.6,403.81,12.345589,76.543117,404.79
00:01:45,0.69,0.83,-0.5,20.2,55.74,943.35,21.41,955.91,-,12.346646,76.542463,402.55,-0.32,0.07,0.13,20.48,54.61,949.06,19.64,948.85,404.8,12.345753,76.543214,404.49
00:01:46,-0.33,0.82,0.81,20.48,55.61,946.96,18.81,958.56,386.36,12.34584,76.542599,409.96,0.07,0.05,0.5,20.04,55.14,951.63,19.86,949.87,405.0,12.345642,76.543278,405.76
00:01:47,-0.22,0.46,0.66,19.38,53.95,952.42,20.57,959.81,414.37,12.345574,76.543395,409.54,-0.09,0.04,-0.26,20.03,54.99,950.23,20.19,947.84,406.12,12.345734,76.543296,404.89
00:01:48,-0.12,-0.44,-0.23,18.34,55.24,949.62,21.76,940.26,401.67,12.344856,76.542394,406.1,-0.39,0.16,-0.37,19.5,54.62,948.11,19.59,951.25,404.28,12.345678,76.543125,404.17
00:01:49,-0.12,-0.19,-0.12,21.03,53.35,942.37,20.84,946.36,393.63,12.344974,76.543386,409.32,0.06,-0.43,-0.38,19.55,55.5,947.52,19.51,948.26,403.75,12.345733,76.543293,405.1
00:01:50,0.3,-0.12,-0.3,20.66,56.53,942.58,19.47,948.56,399.46,12.345704,76.542581,407.33,0.18,0.34,-0.48,19.68,54.87,949.57,20.27,951.14,405.83,12.345645,76.543256,405.83
00:01:51,-0.36,0.7,-0.52,18.67,53.75,949.18,21.88,949.66,387.13,12.345557,76.544144,408.28,-0.09,0.34,0.15,20.44,55.17,951.11,19.75,950.63,404.2,12.345711,76.543212,404.56
00:01:52,-0.26,0.28,0.45,20.8,54.04,951.93,21.31,946.36,399.29,12.346184,76.542265,408.16,-0.38,0.41,0.04,20.05,55.42,952.13,20.15,950.93,406.07,12.345685,76.543304,404.44
00:01:53,-0.75,0.03,0.56,21.85,55.76,940.39,18.95,959.48,402.01,12.345097,76.543944,403.1,0.38,-0.01,0.01,20.49,55.21,952.9,20.2,952.5,403.19,12.345762,76.543196,405.33
00:01:54,0.71,0.95,-0.65,19.66,55.0,958.35,21.17,954.38,395.25,12.346386,76.54404,407.47,0.4,-0.41,-0.03,19.84,54.59,952.35,19.82,949.73,405.02,12.345661,76.543188,404.45
00:01:55,0.53,-0.84,0.86,21.82,53.01,944.57,20.86,948.77,398.6,12.346047,76.543533,406.24,-0.07,-0.24,0.21,19.84,54.71,948.64,19.62,950.68,406.76,12.345618,76.543155,405.44
00:01:56,-0.98,0.79,0.98,19.06,54.94,942.69,19.96,951.5,398.12,12.346354,76.543471,404.03,-0.01,0.23,0.06,20.49,55.06,950.09,19.57,948.82,406.93,12.345739,76.543306,405.8
00:01:57,0.58,-0.38,-0.91,18.91,53.78,950.31,21.11,945.85,386.23,12.345574,76.543052,404.12,0.31,0.13,-0.42,19.85,54.75,947.84,19.51,948.41,404.86,12.345686,76.54325,404.71
00:01:58,0.55,-0.51,0.14,21.78,53.37,940.39,18.09,946.63,393.58,12.345112,76.543731,400.63,-0.49,0.01,0.09,20.15,55.3,950.44,20.27,948.63,406.79,12.345754,76.543269,405.73
00:01:59,-0.03,-0.25,0.47,18.82,56.32,946.91,21.16,940.03,412.98,12.345459,76.543089,406.95,-0.17,-0.1,-0.47,20.3,55.24,949.55,20.02,947.92,406.12,12.345586,76.543258,406.0
00:02:00,-,0.07,0.69,-,54.41,948.45,20.18,940.6,388.35,12.345039,76.543477,402.07,-0.07,0.14,-0.38,20.35,54.76,952.11,20.39,950.88,404.5,12.345596,76.543289,405.07
00:02:01,0.45,-0.45,0.29,19.19,53.42,956.57,19.43,945.38,406.72,12.345768,76.542834,405.61,-0.47,-0.28,0.07,19.53,55.17,948.63,19.57,950.2,406.2,12.345729,76.543222,404.86
00:02:02,0.76,0.62,0.54,18.04,56.25,955.59,20.87,946.25,395.33,12.344954,76.544105,403.58,-0.16,0.3,0.06,20.43,54.67,950.87,20.14,950.0,405.39,12.345674,76.543307,405.34
00:02:03,0.12,-0.55,0.56,19.7,55.66,951.3,19.74,950.17,401.04,12.345287,76.542737,403.88,-0.45,0.27,0.36,19.85,55.14,947.15,19.9,951.64,405.1,12.345669,76.543237,405.95
00:02:04,-1.0,0.25,0.21,18.93,56.52,944.75,19.86,955.21,412.25,12.345261,76.543882,401.18,-0.27,0.12,-0.48,20.41,55.15,949.5,20.46,948.46,404.37,12.345577,76.543213,405.76
